%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1574069815353507145,163,1574069815353126808,base_link,0.00841272249818,0.0411795638502,0.0532542765141,0.0,0.0,0.0
1574069815613562070,164,1574069815613296167,base_link,-0.0135843558237,0.0568760186434,0.0280002374202,0.0,0.0,0.0
1574069815874461110,165,1574069815874039611,base_link,-0.00789969228208,0.0466634184122,-0.00626538367942,0.0,0.0,0.0
1574069816139171870,166,1574069816138954041,base_link,0.0318830572069,-0.0048153270036,-0.0461233332753,0.0,0.0,0.0
1574069816393827521,167,1574069816393352169,base_link,0.0881666764617,-0.0545425638556,-0.0877376571298,0.0,0.0,0.0
1574069816684589887,168,1574069816684469243,base_link,0.114449627697,-0.0252086166292,-0.00938424095511,0.0,0.0,0.0
1574069816934569126,169,1574069816934240760,base_link,0.148137927055,0.0233823675662,0.0199481584132,0.0,0.0,0.0
1574069817192457498,170,1574069817192146256,base_link,0.157218843699,0.031804125756,0.0590590499341,0.0,0.0,0.0
1574069817484541811,171,1574069817484094229,base_link,0.167108356953,0.0224813595414,0.027766847983,0.0,0.0,0.0
1574069817733473870,172,1574069817733147684,base_link,0.136576890945,-0.0901819169521,-0.00575612857938,0.0,0.0,0.0
1574069817989867509,173,1574069817989621990,base_link,0.195051774383,-0.177341327071,-0.0328328236938,0.0,0.0,0.0
1574069818256116180,174,1574069818255644223,base_link,0.126000881195,-0.122477583587,-0.0474665276706,0.0,0.0,0.0
1574069818536642528,175,1574069818536377750,base_link,0.041277743876,-0.0321509577334,0.000814025988802,0.0,0.0,0.0
1574069818804861604,176,1574069818804412453,base_link,-0.0129917850718,-0.00978804565966,-0.0145099740475,0.0,0.0,0.0
1574069819056957909,177,1574069819056717571,base_link,-0.0575304180384,-0.0238759052008,-0.0130642913282,0.0,0.0,0.0
1574069819313396402,178,1574069819313014520,base_link,-0.0160249341279,-0.0698849931359,-0.021858451888,0.0,0.0,0.0
1574069819615129293,179,1574069819614795094,base_link,0.0389131866395,-0.171442046762,-0.0419191494584,0.0,0.0,0.0
1574069819901699254,180,1574069819901318034,base_link,0.0796599239111,-0.278310894966,-0.00287610292435,0.0,0.0,0.0
1574069820161553327,181,1574069820161256933,base_link,0.0513713993132,-0.261228263378,-0.0138986138627,0.0,0.0,0.0
1574069820434508379,182,1574069820434092829,base_link,0.0385302044451,-0.119330190122,-0.05482808128,0.0,0.0,0.0
1574069820689531076,183,1574069820689277926,base_link,-0.00870097707957,-0.0752279087901,-0.0417015887797,0.0,0.0,0.0
1574069820940521457,184,1574069820940082979,base_link,-0.0231827795506,-0.147653996944,-0.026458285749,0.0,0.0,0.0
1574069821199889576,185,1574069821199717310,base_link,0.0225715078413,-0.277049988508,-0.059427715838,0.0,0.0,0.0
1574069821460788464,186,1574069821460380897,base_link,0.00889620836824,-0.339982092381,-0.0360246933997,0.0,0.0,0.0
1574069821718399645,187,1574069821718109519,base_link,-0.0295513998717,-0.253978431225,-0.0371576584876,0.0,0.0,0.0
1574069821977376709,188,1574069821976927605,base_link,-0.0644864737988,-0.141621664166,-0.069183126092,0.0,0.0,0.0
1574069822285128841,189,1574069822284769382,base_link,-0.0746638774872,-0.142630293965,-0.066324070096,0.0,0.0,0.0
1574069822560282535,190,1574069822559976032,base_link,-0.0899611264467,-0.204171210527,-0.0354127883911,0.0,0.0,0.0
1574069822813693709,191,1574069822813480380,base_link,-0.121072307229,-0.201904475689,-0.0520876944065,0.0,0.0,0.0
1574069823054705085,192,1574069823054298072,base_link,-0.161280095577,-0.113401278853,-0.0741066709161,0.0,0.0,0.0
1574069823320241718,193,1574069823320027086,base_link,-0.185429036617,0.0183316655457,-0.060670606792,0.0,0.0,0.0
1574069823597286765,194,1574069823597071923,base_link,-0.222892642021,0.0773176923394,-0.0633917376399,0.0,0.0,0.0
1574069823853245409,195,1574069823853009802,base_link,-0.210660070181,0.102920427918,-0.0853138491511,0.0,0.0,0.0
1574069824121808090,196,1574069824121089468,base_link,-0.225003674626,0.143914923072,-0.0867609754205,0.0,0.0,0.0
1574069824374643151,197,1574069824374348085,base_link,-0.208872452378,0.156938701868,-0.112425394356,0.0,0.0,0.0
1574069824633988081,198,1574069824633616508,base_link,-0.14017085731,0.139513373375,-0.0964437946677,0.0,0.0,0.0
1574069824928381703,199,1574069824927977515,base_link,-0.111310772598,0.0962363705039,-0.0984351709485,0.0,0.0,0.0
1574069825171660556,200,1574069825171535755,base_link,-0.0847755819559,0.0640662387013,-0.117046572268,0.0,0.0,0.0
1574069825463884722,201,1574069825463481036,base_link,-0.0691339448094,0.04367159307,-0.115872196853,0.0,0.0,0.0
1574069825712009383,202,1574069825711777548,base_link,-0.0638663768768,0.0800231322646,-0.136460721493,0.0,0.0,0.0
1574069825975995805,203,1574069825975693693,base_link,-0.016750831157,0.113192670047,-0.142561212182,0.0,0.0,0.0
1574069826232306479,204,1574069826232083937,base_link,-0.0135134505108,0.160292252898,-0.123736470938,0.0,0.0,0.0
1574069826493588404,205,1574069826493148096,base_link,0.00868172198534,0.122255817056,-0.158019408584,0.0,0.0,0.0
1574069826760900976,206,1574069826760723176,base_link,0.00946290977299,0.0609893761575,-0.149069860578,0.0,0.0,0.0
1574069827037017901,207,1574069827036651709,base_link,0.051435790956,0.0161855742335,-0.15330798924,0.0,0.0,0.0
1574069827339411276,208,1574069827339117193,base_link,0.130236119032,0.0239326115698,-0.164826154709,0.0,0.0,0.0
1574069827564447190,209,1574069827564033583,base_link,0.127512276173,-0.00483781192452,-0.169242724776,0.0,0.0,0.0
1574069827812217862,210,1574069827811905957,base_link,0.107182838023,-0.00646781409159,-0.190021634102,0.0,0.0,0.0
1574069828077467681,211,1574069828077034059,base_link,0.0677424669266,-0.00533769559115,-0.176846042275,0.0,0.0,0.0
1574069828368811387,212,1574069828368538569,base_link,0.0228037387133,0.00507043953985,-0.191026255488,0.0,0.0,0.0
1574069828631321476,213,1574069828630902471,base_link,0.0145532898605,0.00864256452769,-0.224821820855,0.0,0.0,0.0
1574069828871953918,214,1574069828871701761,base_link,0.0203130412847,0.00622573681176,-0.23277439177,0.0,0.0,0.0
1574069829133066375,215,1574069829132671760,base_link,0.0293572898954,-0.00934091303498,-0.241520732641,0.0,0.0,0.0
1574069829394879700,216,1574069829394565903,base_link,0.123911999166,0.0454219840467,-0.246731683612,0.0,0.0,0.0
1574069829653667335,217,1574069829653081898,base_link,0.280361711979,0.0763145908713,-0.274931579828,0.0,0.0,0.0
1574069829914618955,218,1574069829914314180,base_link,0.393145442009,0.0545383356512,-0.298162698746,0.0,0.0,0.0
1574069830202304340,219,1574069830202061692,base_link,0.374607592821,0.036825671792,-0.249022573233,0.0,0.0,0.0
1574069830471054723,220,1574069830470537908,base_link,0.28586807847,0.0589533559978,-0.260982185602,0.0,0.0,0.0
1574069830733236191,221,1574069830733065920,base_link,0.173089683056,0.130511596799,-0.238495960832,0.0,0.0,0.0
1574069831001843328,222,1574069831001377305,base_link,0.0737947076559,0.127471789718,-0.220613196492,0.0,0.0,0.0
1574069831289141403,223,1574069831288825264,base_link,0.0781030580401,0.134769931436,-0.244670212269,0.0,0.0,0.0
1574069831535570040,224,1574069831535082135,base_link,0.0553204119205,0.119974881411,-0.230237424374,0.0,0.0,0.0
1574069831819824850,225,1574069831819557769,base_link,0.0344344638288,0.0969225093722,-0.225610896945,0.0,0.0,0.0
1574069832105121932,226,1574069832104670174,base_link,0.00959896482527,0.0595595166087,-0.199172750115,0.0,0.0,0.0
1574069832374404677,227,1574069832374095998,base_link,0.0227205138654,0.0323735959828,-0.200764447451,0.0,0.0,0.0
1574069832656366217,228,1574069832655969406,base_link,0.0769197791815,0.0121305240318,-0.181956261396,0.0,0.0,0.0
1574069832890051441,229,1574069832889735024,base_link,0.109443508089,-0.0135042313486,-0.191010668874,0.0,0.0,0.0
1574069833155334491,230,1574069833154857571,base_link,0.06523694098,-0.0236284174025,-0.17832608521,0.0,0.0,0.0
1574069833421800421,231,1574069833421551368,base_link,0.0299994517118,0.0142553290352,-0.170935213566,0.0,0.0,0.0
1574069833702048962,232,1574069833701539171,base_link,-0.0290029123425,0.0492193587124,-0.169084593654,0.0,0.0,0.0
1574069833964704124,233,1574069833964424948,base_link,-0.0616273097694,0.062173590064,-0.187971517444,0.0,0.0,0.0
1574069834260759256,234,1574069834260295561,base_link,-0.0875941514969,0.0465823635459,-0.185265004635,0.0,0.0,0.0
1574069834519286667,235,1574069834518781879,base_link,-0.0798467770219,0.038056422025,-0.188524827361,0.0,0.0,0.0
1574069834810562496,236,1574069834810337338,base_link,-0.0792066529393,0.0449731722474,-0.183644145727,0.0,0.0,0.0
1574069835027256143,237,1574069835026853444,base_link,-0.0781813636422,0.0450663082302,-0.180500358343,0.0,0.0,0.0
1574069835276467488,238,1574069835275952504,base_link,-0.0657498314977,0.0442893728614,-0.177366837859,0.0,0.0,0.0
1574069835537274068,239,1574069835536954831,base_link,-0.0815490335226,0.0435204356909,-0.18746727705,0.0,0.0,0.0
1574069835796147120,240,1574069835795930325,base_link,-0.120509579778,0.0582841299474,-0.181238174438,0.0,0.0,0.0
1574069836075366496,241,1574069836074971971,base_link,-0.121813967824,0.0735617205501,-0.185111612082,0.0,0.0,0.0
1574069836321313503,242,1574069836321061366,base_link,-0.105883672833,0.0700448527932,-0.166201800108,0.0,0.0,0.0
1574069836575820274,243,1574069836575415396,base_link,-0.0791488736868,0.0622169114649,-0.157648742199,0.0,0.0,0.0
1574069836836721438,244,1574069836836486655,base_link,-0.0507742650807,0.0514274537563,-0.152621150017,0.0,0.0,0.0
1574069837129810588,245,1574069837129429304,base_link,-0.0625844150782,0.0308725163341,-0.156378030777,0.0,0.0,0.0
1574069837422608609,246,1574069837422346560,base_link,-0.0585052855313,0.0284884553403,-0.176842272282,0.0,0.0,0.0
1574069837655265116,247,1574069837654778168,base_link,-0.0769641771913,0.0187493823469,-0.156840443611,0.0,0.0,0.0
1574069837912802354,248,1574069837912511487,base_link,-0.104910217226,0.00428097229451,-0.166500538588,0.0,0.0,0.0
1574069838157465722,249,1574069838157027551,base_link,-0.102913953364,-0.0240178052336,-0.15678216517,0.0,0.0,0.0
1574069838413550520,250,1574069838413315900,base_link,-0.11790676415,-0.0305707938969,-0.153555199504,0.0,0.0,0.0
1574069838679652674,251,1574069838679178999,base_link,-0.113425590098,-0.0358529277146,-0.146992310882,0.0,0.0,0.0
1574069838942297517,252,1574069838941965183,base_link,-0.094884686172,-0.037275634706,-0.135513141751,0.0,0.0,0.0
1574069839200069852,253,1574069839199619498,base_link,-0.0701274946332,-0.0345408655703,-0.154221445322,0.0,0.0,0.0
1574069839452110830,254,1574069839451923609,base_link,-0.0542157031596,-0.0277683101594,-0.159329488873,0.0,0.0,0.0
1574069839720460105,255,1574069839719913049,base_link,-0.0827081203461,-0.0198697596788,-0.153683051467,0.0,0.0,0.0
1574069840004111105,256,1574069840003859610,base_link,-0.0979691892862,0.013286835514,-0.139321431518,0.0,0.0,0.0
1574069840296933931,257,1574069840296456000,base_link,-0.0791238844395,0.0548791736364,-0.16084100306,0.0,0.0,0.0
1574069840565547467,258,1574069840565308491,base_link,-0.0746033638716,0.0772883594036,-0.164184227586,0.0,0.0,0.0
1574069840831074350,259,1574069840830624347,base_link,-0.0674259662628,0.074006550014,-0.167099669576,0.0,0.0,0.0
1574069841091306893,260,1574069841091044963,base_link,-0.1032884866,0.0779785513878,-0.142308264971,0.0,0.0,0.0
1574069841353758317,261,1574069841353297527,base_link,-0.0968531668186,0.12651258707,-0.166781827807,0.0,0.0,0.0
1574069841619468648,262,1574069841619275932,base_link,-0.101596601307,0.0828582942486,-0.182263568044,0.0,0.0,0.0
1574069841876781642,263,1574069841876543966,base_link,-0.129546374083,0.0502163730562,-0.195257410407,0.0,0.0,0.0
1574069842136245274,264,1574069842135997510,base_link,-0.167542651296,0.0538665354252,-0.19008871913,0.0,0.0,0.0
1574069842408455807,265,1574069842405847413,base_link,-0.12728844583,0.0479807443917,-0.182643577456,0.0,0.0,0.0
1574069842685969840,266,1574069842685541672,base_link,-0.0797508656979,0.021862892434,-0.203938528895,0.0,0.0,0.0
