%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.current,field.charge,field.capacity,field.design_capacity,field.percentage,field.power_supply_status,field.power_supply_health,field.power_supply_technology,field.present,field.location,field.serial_number
1574069825308729548,191,1574069825308587610,,16.2439994812,-2.20000004768,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069825557414958,192,1574069825557060626,,16.3159999847,-2.17000007629,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069825819464054,193,1574069825819274813,,16.3090000153,-2.30999994278,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069826079697794,194,1574069826079316331,,16.3120002747,-2.07999992371,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069826385229205,195,1574069826385045854,,16.2409992218,-2.40000009537,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069826621713256,196,1574069826621370197,,16.3099994659,-2.24000000954,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069826948137318,197,1574069826947805225,,16.3150005341,-2.20000004768,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069827202795401,198,1574069827202605485,,16.2740001678,-2.07999992371,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069827472265168,199,1574069827471893208,,16.3169994354,-2.20000004768,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069827731561034,200,1574069827731375600,,16.3120002747,-2.24000000954,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069827994529753,201,1574069827994173632,,16.3069992065,-2.33999991417,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069828251768998,202,1574069828251624231,,16.2719993591,-2.3900001049,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069828545789110,203,1574069828545444131,,16.267999649,-2.01999998093,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069828785472423,204,1574069828785274870,,16.3169994354,-2.23000001907,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069829040525152,205,1574069829040125903,,16.3180007935,-2.19000005722,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069829354764436,206,1574069829354597221,,16.2579994202,-2.23000001907,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069829595559477,207,1574069829595239890,,16.311000824,-2.30999994278,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069829865027517,208,1574069829864940348,,16.313999176,-2.21000003815,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069830118063253,209,1574069830117650382,,16.3169994354,-2.1400001049,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069830412786577,210,1574069830412487362,,16.281999588,-2.40000009537,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069830665269893,211,1574069830664955738,,16.3129997253,-2.17000007629,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069830944190550,212,1574069830943845192,,16.313999176,-2.11999988556,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069831192120262,213,1574069831191790582,,16.3169994354,-1.91999995708,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069831454752243,214,1574069831454367836,,16.2630004883,-2.00999999046,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069831755881153,215,1574069831755628582,,16.3120002747,-2.09999990463,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069832063998588,216,1574069832063574357,,16.3180007935,-2.02999997139,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069832321597553,217,1574069832321404313,,16.2460002899,-1.96000003815,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069832575289898,218,1574069832574926890,,16.3150005341,-1.96000003815,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069832836687176,219,1574069832836468483,,16.3150005341,-2.11999988556,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069833125636017,220,1574069833125268416,,16.3169994354,-2.17000007629,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069833396078814,221,1574069833395884377,,16.2409992218,-2.09999990463,nan,nan,nan,0.990000009537,2,0,0,1,id0,
