%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1574069822445576015,190,1574069822445221228,,0,1747,1498,1490,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069822705480710,191,1574069822705258971,,0,1747,1498,1490,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069822961855215,192,1574069822961534307,,0,1747,1498,1490,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069823265290347,193,1574069823265051830,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069823540171623,194,1574069823539767924,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069823789303452,195,1574069823789119087,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069824048420977,196,1574069824048014873,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069824301444623,197,1574069824301276299,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069824559661121,198,1574069824559246854,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069824824765627,199,1574069824824580524,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069825079869788,200,1574069825079460809,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069825370785272,201,1574069825370497813,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069825668833871,202,1574069825668531296,,0,1747,1498,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
